車站編號,車站中文名稱,車站英文名稱,地址
R3,小港,Siaogang,高雄市小港區沿海一路280號地下一樓
R4,高雄國際機場,Kaohsiung International Airport,高雄市小港區中山四路2之2號地下一樓
R4A,草衙,Caoya,高雄市前鎮區翠亨南路555號地下一樓
R5,前鎮高中,Cianjhen Senior High School,高雄市前鎮區翠亨北路225號地下一樓
R6,凱旋,Kaisyuan,高雄市前鎮區中山三路1號地下一樓
R7,獅甲,Shihjia,高雄市前鎮區中山三路150號地下一層
R8,三多商圈,Sanduo Shopping District,高雄市前鎮區中山二路268號地下一層
R9,中央公園,Central Park,高雄市前金區中山一路11號地下一層
R10,美麗島,Formosa Boulevard,高雄市新興區中山一路115號地下一樓
R11,高雄車站,Kaohsiung Main Station,高雄市三民區建國二路320號地下一層
R12,後驛,Houyi,高雄市三民區博愛一路220號地下一層
R13,凹子底,Aozihdi,高雄市鼓山區博愛二路21號地下一層
R14,巨蛋,Kaohsiung Arena,高雄市左營區博愛二路485號地下一層
R15,生態園區,Ecological District,高雄市左營區博愛三路435號地下一層
R16,左營,Zuoying,高雄市左營區高鐵路107號地下一層
R17,世運,World Game,高雄市楠梓區左楠路1號
R18,油廠國小,Oil Refinery Elementary School,高雄市楠梓區左楠路6號
R19,楠梓加工區,Nanzih Export Processing Zone,高雄市楠梓區加昌路598號
R20,後勁,Houjing,高雄市楠梓區加昌路178號
R21,都會公園,Metropolitan Park,高雄市楠梓區高楠公路1835號
R22,青埔,Cingpu,高雄市橋頭區經武路20號
R22A,橋頭糖廠,Ciaotou Sugar Refinery,高雄市橋頭區興糖路19號
R23,橋頭火車站,Ciaotou Station,高雄市橋頭區站前街12之1號
R24,南岡山,Gangshan South,高雄市岡山區大遼里9鄰中山南路2號
O1,西子灣,Sizihwan,高雄市鼓山區臨海二路17-1號地下一層
O2,鹽埕埔,Yanchengpu,高雄市鹽埕區大勇路96號地下一層
O4,市議會,City Council,高雄市前金區中正四路192-1號地下一層
O5,美麗島,Formosa Boulevard,高雄市新興區中山一路115號地下一樓
O6,信義國小,Sinyi Elementary School,高雄市新興區中正三路32-1號地下一樓
O7,文化中心,Cultural Center,高雄市苓雅區中正二路45號地下一層
O8,五塊厝,Wukuaicuo,高雄市苓雅區中正一路286號地下一層
O9,技擊館,Martial Arts Stadium,高雄市苓雅區中正一路99號地下一層
O10,衛武營,Weiwuying,高雄市苓雅區中正一路2號地下一層
O11,鳳山西站,Fongshan West,高雄市鳳山區自由路281號地下層
O12,鳳山,Fongshan,高雄市鳳山區光遠路446號地下層
O13,大東,Dadong,高雄市鳳山區光遠路226號地下一層
O14,鳳山國中,Fongshan Junior High School,高雄市鳳山區中山東路225號地下一層
OT1,大寮,Daliao,高雄市大寮區捷西路300號
